date,prefecture,average
2018/6/21,nagoya,23.3
2018/6/21,kobe,22.8
2018/6/21,kushiro,11.9
2018/6/22,nagoya,24.5
2018/6/22,kobe,24
2018/6/22,kushiro,13.8
2018/6/23,nagoya,20.3
2018/6/23,kobe,22.2
2018/6/23,kushiro,15.8
2018/6/24,nagoya,24.3
2018/6/24,kobe,23.5
2018/6/24,kushiro,15.4
2018/6/25,nagoya,27.4
2018/6/25,kobe,25.3
2018/6/25,kushiro,13.2
2018/6/26,nagoya,26.6
2018/6/26,kobe,26.3
2018/6/26,kushiro,12.3
2018/6/27,nagoya,27.1
2018/6/27,kobe,25.9
2018/6/27,kushiro,14.1
2018/6/28,nagoya,26.8
2018/6/28,kobe,25.9
2018/6/28,kushiro,17.6
2018/6/29,nagoya,26.4
2018/6/29,kobe,25.1
2018/6/29,kushiro,14.4
2018/6/30,nagoya,27.3
2018/6/30,kobe,26.7
2018/6/30,kushiro,17.3
2018/7/1,nagoya,27.9
2018/7/1,kobe,28
2018/7/1,kushiro,16.1
2018/7/2,nagoya,28
2018/7/2,kobe,28.3
2018/7/2,kushiro,15.7
2018/7/3,nagoya,27.2
2018/7/3,kobe,28.6
2018/7/3,kushiro,18.3
2018/7/4,nagoya,25.7
2018/7/4,kobe,26.3
2018/7/4,kushiro,15.8
2018/7/5,nagoya,24.6
2018/7/5,kobe,24.4
2018/7/5,kushiro,10.5
2018/7/6,nagoya,24.3
2018/7/6,kobe,24.1
2018/7/6,kushiro,12.5
2018/7/7,nagoya,25.5
2018/7/7,kobe,24.6
2018/7/7,kushiro,10.5
2018/7/8,nagoya,26.9
2018/7/8,kobe,26.4
2018/7/8,kushiro,12.7
2018/7/9,nagoya,27.7
2018/7/9,kobe,27.6
2018/7/9,kushiro,13
2018/7/10,nagoya,28.5
2018/7/10,kobe,27.6
2018/7/10,kushiro,13.9
2018/7/11,nagoya,29.7
2018/7/11,kobe,28.3
2018/7/11,kushiro,15.2
2018/7/12,nagoya,29.4
2018/7/12,kobe,29.1
2018/7/12,kushiro,14.6
2018/7/13,nagoya,29.7
2018/7/13,kobe,29.8
2018/7/13,kushiro,16.7
2018/7/14,nagoya,30.8
2018/7/14,kobe,30.5
2018/7/14,kushiro,16.1
2018/7/15,nagoya,31.2
2018/7/15,kobe,29.9
2018/7/15,kushiro,15.2
2018/7/16,nagoya,31.5
2018/7/16,kobe,30.2
2018/7/16,kushiro,20.3
2018/7/17,nagoya,31
2018/7/17,kobe,29.5
2018/7/17,kushiro,17.5
2018/7/18,nagoya,32
2018/7/18,kobe,31.2
2018/7/18,kushiro,15.7
2018/7/19,nagoya,31
2018/7/19,kobe,31.3
2018/7/19,kushiro,16
2018/7/20,nagoya,30.8
2018/7/20,kobe,30.1
2018/7/20,kushiro,17.4
2018/7/21,nagoya,30.5
2018/7/21,kobe,29.8
2018/7/21,kushiro,19.4
2018/7/22,nagoya,32.7
2018/7/22,kobe,29.5
2018/7/22,kushiro,20.5
2018/7/23,nagoya,33.3
2018/7/23,kobe,31.5
2018/7/23,kushiro,18
2018/7/24,nagoya,32.2
2018/7/24,kobe,31.6
2018/7/24,kushiro,17.3
2018/7/25,nagoya,30.8
2018/7/25,kobe,30.4
2018/7/25,kushiro,17.1
2018/7/26,nagoya,29.3
2018/7/26,kobe,29.9
2018/7/26,kushiro,17.7
2018/7/27,nagoya,28.4
2018/7/27,kobe,27.9
2018/7/27,kushiro,18.1
2018/7/28,nagoya,29.2
2018/7/28,kobe,28.8
2018/7/28,kushiro,18.8
2018/7/29,nagoya,28.4
2018/7/29,kobe,27.3
2018/7/29,kushiro,20.7
2018/7/30,nagoya,29.6
2018/7/30,kobe,29.8
2018/7/30,kushiro,20.2
2018/7/31,nagoya,29.9
2018/7/31,kobe,30.7
2018/7/31,kushiro,19.9
2018/8/1,nagoya,31
2018/8/1,kobe,29.6
2018/8/1,kushiro,21.6
2018/8/2,nagoya,33.1
2018/8/2,kobe,29.1
2018/8/2,kushiro,21.1
2018/8/3,nagoya,32.8
2018/8/3,kobe,30.7
2018/8/3,kushiro,20.4
2018/8/4,nagoya,31.7
2018/8/4,kobe,30.9
2018/8/4,kushiro,17.5
2018/8/5,nagoya,32.7
2018/8/5,kobe,30.8
2018/8/5,kushiro,16.7
2018/8/6,nagoya,33
2018/8/6,kobe,30.9
2018/8/6,kushiro,15.2
2018/8/7,nagoya,29.6
2018/8/7,kobe,30
2018/8/7,kushiro,14.8
2018/8/8,nagoya,30.2
2018/8/8,kobe,28.3
2018/8/8,kushiro,15.8
2018/8/9,nagoya,31.5
2018/8/9,kobe,28.8
2018/8/9,kushiro,16.6
2018/8/10,nagoya,30.8
2018/8/10,kobe,29
2018/8/10,kushiro,17.5
2018/8/11,nagoya,31.3
2018/8/11,kobe,29.4
2018/8/11,kushiro,15.4
2018/8/12,nagoya,28.2
2018/8/12,kobe,29.9
2018/8/12,kushiro,17.5
2018/8/13,nagoya,29.6
2018/8/13,kobe,29.9
2018/8/13,kushiro,18.7
2018/8/14,nagoya,30.2
2018/8/14,kobe,30.4
2018/8/14,kushiro,19.9
2018/8/15,nagoya,26.9
2018/8/15,kobe,28.7
2018/8/15,kushiro,18
2018/8/16,nagoya,27.9
2018/8/16,kobe,27.9
2018/8/16,kushiro,14.4
2018/8/17,nagoya,26.5
2018/8/17,kobe,25.8
2018/8/17,kushiro,15.1
2018/8/18,nagoya,25
2018/8/18,kobe,25.7
2018/8/18,kushiro,15.7
2018/8/19,nagoya,25.5
2018/8/19,kobe,27.1
2018/8/19,kushiro,15.2
2018/8/20,nagoya,26.2
2018/8/20,kobe,28.9
2018/8/20,kushiro,18.9
2018/8/21,nagoya,28.9
2018/8/21,kobe,30.2
