datetime,stockprice,price
2018/2/19,highprice,7380
2018/2/19,lowprice,7250
2018/2/19,tradevolum,5301700
2018/2/2,openingprice,7562
2018/2/2,closingprice,7626
2018/2/2,highprice,7652
2018/2/2,lowprice,7526
2018/2/2,tradevolum,6804100
2018/2/20,openingprice,7345
2018/2/20,closingprice,7291
2018/2/20,highprice,7346
2018/2/20,lowprice,7276
2018/2/20,tradevolum,5913200
2018/2/21,openingprice,7347
2018/2/21,closingprice,7300
2018/2/21,highprice,7360
2018/2/21,lowprice,7270
2018/2/21,tradevolum,5460400
2018/2/22,openingprice,7250
2018/2/22,closingprice,7235
2018/2/22,highprice,7271
2018/2/22,lowprice,7217
2018/2/22,tradevolum,4976300
2018/2/23,openingprice,7269
2018/2/23,closingprice,7283
2018/2/23,highprice,7294
2018/2/23,lowprice,7236
2018/2/23,tradevolum,3156200
2018/2/26,openingprice,7317
2018/2/26,closingprice,7323
2018/2/26,highprice,7359
2018/2/26,lowprice,7300
2018/2/26,tradevolum,3301700
2018/2/27,openingprice,7369
2018/2/27,closingprice,7379
2018/2/27,highprice,7411
2018/2/27,lowprice,7350
2018/2/27,tradevolum,3950100
2018/2/28,openingprice,7348
2018/2/28,closingprice,7235
2018/2/28,highprice,7379
2018/2/28,lowprice,7235
2018/2/28,tradevolum,5709300
2018/2/5,openingprice,7526
2018/2/5,closingprice,7501
2018/2/5,highprice,7575
2018/2/5,lowprice,7501
2018/2/5,tradevolum,8301800
2018/2/6,openingprice,7225
2018/2/6,closingprice,7286
2018/2/6,highprice,7310
2018/2/6,lowprice,7125
2018/2/6,tradevolum,12388800
2018/2/7,openingprice,7600
2018/2/7,closingprice,7372
2018/2/7,highprice,7704
2018/2/7,lowprice,7350
2018/2/7,tradevolum,12986500
2018/2/8,openingprice,7455
2018/2/8,closingprice,7551
2018/2/8,highprice,7596
2018/2/8,lowprice,7451
2018/2/8,tradevolum,8289000
2018/2/9,openingprice,7333
2018/2/9,closingprice,7465
2018/2/9,highprice,7478
2018/2/9,lowprice,7310
2018/2/9,tradevolum,9426800
2018/3/1,openingprice,7197
2018/3/1,closingprice,7084
2018/3/1,highprice,7198
2018/3/1,lowprice,7076
2018/3/1,tradevolum,7207400
2018/3/12,openingprice,6930
2018/3/12,closingprice,6958
2018/3/12,highprice,6969
2018/3/12,lowprice,6902
2018/3/12,tradevolum,5203200
2018/3/13,openingprice,6901
2018/3/13,closingprice,6969
2018/3/13,highprice,6972
2018/3/13,lowprice,6869
2018/3/13,tradevolum,4562500
2018/3/14,openingprice,6920
2018/3/14,closingprice,6939
2018/3/14,highprice,6977
2018/3/14,lowprice,6917
2018/3/14,tradevolum,4127200
2018/3/15,openingprice,6902
2018/3/15,closingprice,6931
2018/3/15,highprice,6960
2018/3/15,lowprice,6897
2018/3/15,tradevolum,4006200
2018/3/16,openingprice,6950
2018/3/16,closingprice,6884
2018/3/16,highprice,6950
2018/3/16,lowprice,6883
2018/3/16,tradevolum,6079600
2018/3/19,openingprice,6870
2018/3/19,closingprice,6827
2018/3/19,highprice,6922
2018/3/19,lowprice,6817
2018/3/19,tradevolum,3605600
2018/3/2,openingprice,6960
2018/3/2,closingprice,6916
2018/3/2,highprice,6977
2018/3/2,lowprice,6886
2018/3/2,tradevolum,8015200
2018/3/20,openingprice,6800
2018/3/20,closingprice,6853
2018/3/20,highprice,6857
2018/3/20,lowprice,6765
2018/3/20,tradevolum,4289500
2018/3/22,openingprice,6809
2018/3/22,closingprice,6846
2018/3/22,highprice,6894
2018/3/22,lowprice,6805
2018/3/22,tradevolum,4697400
2018/3/23,openingprice,6700
